Broker Name,KYC Completed (Y/N),Capital Adequacy %,Client Complaints,Reporting Delay (days)
Alpha Securities,Y,120,1,0
Beta Investments,N,95,3,2
Gamma Brokers,Y,110,0,1
Delta Trading,Y,85,5,4
Epsilon Capital,N,100,2,0
Zenith Markets,Y,130,1,0
Orion Finance,Y,105,0,1
Nova Securities,N,90,4,3
Apex Investments,Y,115,2,0
Horizon Brokers,Y,102,1,1
Vertex Capital,N,88,3,2
Summit Trading,Y,125,0,0
Pioneer Securities,Y,95,2,1
Atlas Investments,N,80,5,4
Crest Finance,Y,110,1,0
Quantum Brokers,Y,120,0,0
Sterling Securities,N,92,4,3
Falcon Capital,Y,105,1,1
Titan Investments,Y,100,2,0
Liberty Markets,N,85,3,2
Everest Securities,Y,115,0,0
Vanguard Brokers,Y,108,1,1
Horizon Capital,N,95,4,3
Skyline Investments,Y,125,0,0
Matrix Securities,Y,105,2,1
Phoenix Brokers,N,90,5,4
Summit Capital,Y,110,1,0
Crestline Investments,Y,120,0,0
Orion Securities,N,88,3,2
AlphaEdge Trading,Y,115,2,1